DATETIME,DATETIME_UT,H_VALUE,SPLINE,BASELINE,LDi,LCi
2003-11-16 00:00:00,2003-11-15 23:51:00,21024.402399354898,0.0,21020.26435893343,4.138040421468759,0.9647413319014126
2003-11-16 00:01:00,2003-11-15 23:52:00,21024.94413072244,-0.0002058555884672091,21020.264327868354,4.680008709675496,0.11919524451206209
2003-11-16 00:02:00,2003-11-15 23:53:00,21024.639907736826,-0.0008199770720529068,21020.264296803405,4.376430910492883,0.21262055145594827
2003-11-16 00:03:00,2003-11-15 23:54:00,21025.36767835464,-0.0018371965280340743,21020.26426573858,5.105249812587393,0.4323648178344044
2003-11-16 00:04:00,2003-11-15 23:55:00,21025.50214287402,-0.003252346033687693,21020.26423467389,5.241160546161692,-0.5331441761415836
2003-11-16 00:05:00,2003-11-15 23:56:00,21024.298104811965,-0.0050602576662907425,21020.264203609328,4.038961460304225,-0.9966541895307808
2003-11-16 00:06:00,2003-11-15 23:57:00,21023.50476894849,-0.007255763503120207,21020.264172544892,3.24785216710013,-0.6984983047840758
2003-11-16 00:07:00,2003-11-15 23:58:00,21022.8962726357,-0.009833695621453064,21020.264141480584,2.641964850736074,-0.6325743709150614
2003-11-16 00:08:00,2003-11-15 23:59:00,21022.23402495558,-0.012788886098566299,21020.264110416407,1.9827034252700073,0.10375275057812683
2003-11-16 00:09:00,2003-11-16 00:00:00,21023.097433537238,-0.016116167011736886,21020.264079352357,2.8494703518923274,0.38632574181416224
2003-11-16 00:10:00,2003-11-16 00:01:00,21022.999592826898,-0.019810370438241815,21020.264048288438,2.755354908898332,-0.6523502998477839
2003-11-16 00:11:00,2003-11-16 00:02:00,21021.784920648388,-0.02386632845535806,21020.264017224647,1.5447697521967596,-0.38708859812193885
2003-11-16 00:12:00,2003-11-16 00:03:00,21022.216885000496,-0.028278873140362606,21020.263986160982,1.981177712654454,0.6527244862295516
2003-11-16 00:13:00,2003-11-16 00:04:00,21023.081130985534,-0.03304283657053243,21020.26395509745,2.850218724655863,-0.03903158097048398
2003-11-16 00:14:00,2003-11-16 00:05:00,21022.12888553393,-0.038153050823144526,21020.26392403404,1.9031145507134861,-0.8566218012744575
2003-11-16 00:15:00,2003-11-16 00:06:00,21021.35726374489,-0.043604347975475855,21020.263892970757,1.1369751221069477,-0.9843606241874784
2003-11-16 00:16:00,2003-11-16 00:07:00,21020.148863649847,-0.04939156010480341,21020.263861907613,-0.06560669766147062,-0.5025776444448502
2003-11-16 00:17:00,2003-11-16 00:08:00,21020.34014115852,-0.055509519288404176,21020.26383084459,0.1318198332172474,-0.3501111891918496
2003-11-16 00:18:00,2003-11-16 00:09:00,21019.436017648048,-0.06195305760355513,21020.263799781696,-0.7658290760451698,-0.49107920020795404
2003-11-16 00:19:00,2003-11-16 00:10:00,21019.344713144605,-0.06871700712753324,21020.26376871893,-0.8503385671986606,-0.7863535861846425
2003-11-16 00:20:00,2003-11-16 00:11:00,21017.849405207948,-0.07579619993761551,21020.2637376563,-2.3385362484144547,-1.0957286114556009
2003-11-16 00:21:00,2003-11-16 00:12:00,21017.138725335568,-0.08318546811107891,21020.26370659379,-3.0417957901098625,-0.6955166017290342
2003-11-16 00:22:00,2003-11-16 00:13:00,21016.44322643582,-0.09087964372520041,21020.263675531416,-3.729569451872523,-0.1888251303894195
2003-11-16 00:23:00,2003-11-16 00:14:00,21016.745324859414,-0.09887355885725702,21020.26364446916,-3.4194460508887015,0.05165848003182405
2003-11-16 00:24:00,2003-11-16 00:15:00,21016.53019886965,-0.10716204558452569,21020.26361340704,-3.626252491808875,-0.4087656270450586
2003-11-16 00:25:00,2003-11-16 00:16:00,21015.910865104088,-0.11573993598428342,21020.26358234505,-4.236977304978819,-0.5062704459430549
2003-11-16 00:26:00,2003-11-16 00:17:00,21015.500155837355,-0.12460206213380715,21020.263551283184,-4.638793383694985,-0.21571761339636852
2003-11-16 00:27:00,2003-11-16 00:18:00,21015.461364433566,-0.13374325611037396,21020.263520221448,-4.668412531771556,-0.12402358480738762
2003-11-16 00:28:00,2003-11-16 00:19:00,21015.23349025654,-0.1431583499912607,21020.263489159843,-4.88684055330976,-0.4746078464669168
2003-11-16 00:29:00,2003-11-16 00:20:00,21014.492987697802,-0.1528421758537445,21020.26345809836,-5.617628224705389,0.03416816488502894
2003-11-16 00:30:00,2003-11-16 00:21:00,21015.2821332477,-0.16278956577510217,21020.263427037014,-4.818504223539702,1.477962021089015
2003-11-16 00:31:00,2003-11-16 00:22:00,21017.428696441435,-0.17299535183261086,21020.263395975795,-2.6617041825273593,1.6614625829837655
2003-11-16 00:32:00,2003-11-16 00:23:00,21018.584331491027,-0.18345436610354743,21020.263364914703,-1.4955790575721715,0.8067427099913218
2003-11-16 00:33:00,2003-11-16 00:24:00,21019.020953650528,-0.19416144066518892,21020.263333853738,-1.0482187625447157,-0.15665065616173124
2003-11-16 00:34:00,2003-11-16 00:25:00,21018.249311015414,-0.20511140759481228,21020.263302792904,-1.808880369895634,-0.7843830600206567
2003-11-16 00:35:00,2003-11-16 00:26:00,21017.429987750642,-0.21629909896969451,21020.263271732198,-2.616984882586029,-0.5047963910938289
2003-11-16 00:36:00,2003-11-16 00:27:00,21017.21704817267,-0.22771934686711257,21020.263240671622,-2.8184731520832917,-0.20244609680953118
2003-11-16 00:37:00,2003-11-16 00:28:00,21017.001965551604,-0.23936698336434353,21020.263209611174,-3.0218770762050915,0.149872833455456
2003-11-16 00:38:00,2003-11-16 00:29:00,21017.493214225142,-0.25123684053866424,21020.263178550853,-2.5187274851723798,0.6564619543613294
2003-11-16 00:39:00,2003-11-16 00:30:00,21018.29087057271,-0.26332375046735174,21020.26314749066,-1.7089531674824328,0.8185146400360682
2003-11-16 00:40:00,2003-11-16 00:31:00,21019.105795680272,-0.275622545227683,21020.2631164306,-0.8816982051002433,0.6893192127910178
