DATETIME,H_VALUE,SPLINE,NULL_VALUES,BASELINE,LDi,LCi
2004-11-25 00:00:00,24760.41128091373,0.0,0,24804.47443381212,-44.0631528983904,-0.5332927641451803
2004-11-25 00:01:00,24760.025384881978,-0.0004019821811361647,0,24804.474328679607,-44.44854181544877,-0.23748506997156227
2004-11-25 00:02:00,24759.934499307547,-0.0016012009892977077,0,24804.47422354687,-44.538123038333524,-0.021840947257061316
2004-11-25 00:03:00,24759.97830713912,-0.0035875648216108892,0,24804.474118413906,-44.49222370996289,-0.1012122237164732
2004-11-25 00:04:00,24759.72711481288,-0.006350982075201971,0,24804.47401328072,-44.74054748576647,-0.3462738066051152
2004-11-25 00:05:00,24759.279255462992,-0.009881361147197216,0,24804.473908147313,-45.18477132317312,-0.4165853729487381
2004-11-25 00:06:00,24758.88591617159,-0.01416861043472288,0,24804.47380301369,-45.573718231663946,-0.25015784321221446
2004-11-25 00:07:00,24758.769408231903,-0.019202638334905233,0,24804.473697879836,-45.68508700959755,-0.27667510780207394
2004-11-25 00:08:00,24758.32155094525,-0.024973353244870527,0,24804.473592745762,-46.127068447268094,-0.2759429766944024
2004-11-25 00:09:00,24758.20504398491,-0.03147066356174503,0,24804.47348761146,-46.23697296298636,-0.1405418006410244
2004-11-25 00:10:00,24758.02654595071,-0.038684477682655,0,24804.473382476943,-46.40815204855014,-0.059666815462019684
2004-11-25 00:11:00,24758.070366044285,-0.04660470400472669,0,24804.4732773422,-46.356306593910396,0.02119814361956074
2004-11-25 00:12:00,24758.052195195,-0.055221250925086375,0,24804.473172207236,-46.36575576131102,0.0528908323377415
2004-11-25 00:13:00,24758.158018115966,-0.06452402684086031,0,24804.473067072042,-46.25052492923491,-0.004678628501530113
2004-11-25 00:14:00,24758.023345978167,-0.07450294014917476,0,24804.47296193663,-46.37511301831408,-0.016834884667108696
2004-11-25 00:15:00,24758.10351420318,-0.08514789924715599,0,24804.472856800996,-46.28419469856913,0.18958255407893887
2004-11-25 00:16:00,24758.38035494245,-0.09644881253193023,0,24804.472751665136,-45.995947910156204,0.341493687710301
