DATETIME,H_VALUE,SPLINE,NULL_VALUES,BASELINE,LDi,LCi
2004-11-29 00:00:00,27542.671592458126,0.0,0,27564.988784473448,-22.31719201532178,0.10338098303359367
2004-11-29 00:01:00,27542.63614489361,-0.00016831838298020325,0,27564.988720551584,-22.35240733958994,-0.17381163156991697
2004-11-29 00:02:00,27542.323170894644,-0.0006704564878581245,0,27564.988656629594,-22.664815278461614,-0.1961028341716542
2004-11-29 00:03:00,27542.242477510797,-0.0015021887485337927,0,27564.98859270748,-22.74461300793325,-0.11998100242485421
2004-11-29 00:04:00,27542.08109221233,-0.0026592895989072376,0,27564.98852878524,-22.904777283311322,-0.168865308354901
2004-11-29 00:05:00,27541.901983704756,-0.004137533472878488,0,27564.988464862872,-23.082343624643052,-0.19513267616739327
2004-11-29 00:06:00,27541.687425609925,-0.005932694804347572,0,27564.988400940376,-23.29504263564611,-0.05605530083363597
2004-11-29 00:07:00,27541.78584224342,-0.008040548027214519,0,27564.988337017756,-23.194454226310324,0.011188480624612751
2004-11-29 00:08:00,27541.70515055304,-0.010456867575379359,0,27564.988273095012,-23.272665674396883,-0.1272673247569216
2004-11-29 00:09:00,27541.526042868434,-0.013177427882742121,0,27564.98820917214,-23.448988875824167,-0.1269646695139528
2004-11-29 00:10:00,27541.44535223233,-0.016198003383202833,0,27564.98814524914,-23.52659501342479,-0.0371129246755455
2004-11-29 00:11:00,27541.44535223233,-0.019514368510661524,0,27564.988081326017,-23.523214725175258,0.0035260703418238393
2004-11-29 00:12:00,27541.44535223233,-0.02312229769901823,0,27564.98801740277,-23.51954287274114,-0.00504739649763053
2004-11-29 00:13:00,27541.427626395838,-0.027017565382172967,0,27564.98795347939,-23.53330951817052,-0.1031786261378631
2004-11-29 00:14:00,27541.230793484883,-0.031195945994025767,0,27564.987889555894,-23.725900125016867,-0.09403470762025457
2004-11-29 00:15:00,27541.230793484883,-0.03565321396847667,0,27564.987825632263,-23.721378933411028,0.0046585225641138095
2004-11-29 00:16:00,27541.230793484883,-0.040385143739425707,0,27564.98776170851,-23.71658307988864,-0.003931734044339663
2004-11-29 00:17:00,27541.21306787339,-0.04538750974077289,0,27564.98769778463,-23.729242401499707,-0.052871661321395536
2004-11-29 00:18:00,27541.114651371685,-0.05065608640641825,0,27564.987633860623,-23.82232640253143,-0.142161242164919
2004-11-29 00:19:00,27540.917818402493,-0.056186648170261824,0,27564.987569936493,-24.013564885829545,-0.08383021811020264
2004-11-29 00:20:00,27540.935544204014,-0.06197496946620365,0,27564.987506012232,-23.989986838751836,-0.09243744917510632
2004-11-29 00:21:00,27540.72098547894,-0.06801682472814374,0,27564.987442087848,-24.198439784179758,-0.042977768161891916
2004-11-29 00:22:00,27540.837127799874,-0.07430798838998212,0,27564.98737816334,-24.07594237507562,0.1452396376309455
2004-11-29 00:23:00,27540.998509494897,-0.08084423488561886,0,27564.9873142387,-23.907960508917867,0.17696555262154767
2004-11-29 00:24:00,27541.177617705456,-0.08762133864895394,0,27564.987250313938,-23.722011269832525,0.14572176961713623
2004-11-29 00:25:00,27541.276034345254,-0.09463507411388739,0,27564.98718638905,-23.616516969683595,0.32016857235067775
2004-11-29 00:26:00,27541.803567123196,-0.10188121571431928,0,27564.98712246404,-23.08167412513117,0.2623281060467235
2004-11-29 00:27:00,27541.78584224342,-0.1093555378841496,0,27564.987058538893,-23.091860757590148,0.047996107438471824
2004-11-29 00:28:00,27541.884258888316,-0.1170538150572784,0,27564.986994613628,-22.985681910254225,0.06594279788922108
2004-11-29 00:29:00,27541.901983704756,-0.12497182166760572,0,27564.986930688236,-22.959975161811705,0.17343948783574348
2004-11-29 00:30:00,27542.214958495984,-0.13310533214903156,0,27564.986866762716,-22.63880293458274,0.15592798177702782
2004-11-29 00:31:00,27542.19723351788,-0.14145012093545595,0,27564.986802837073,-22.64811919825765,0.16499967363506407
2004-11-29 00:32:00,27542.52793336153,-0.15000196246077893,0,27564.986738911302,-22.30880358731261,0.3709002064637854
2004-11-29 00:33:00,27542.921599568916,-0.15875663115890054,0,27564.986674985405,-21.90631878533008,0.4517925071021107
2004-11-29 00:34:00,27543.413682584807,-0.1677099014637208,0,27564.98661105938,-21.40521857310839,0.40278086556206283
