DATETIME,H_VALUE,SPLINE,NULL_VALUES,BASELINE,LDi,LCi
2003-11-09 00:00:00,26220.2,0.0,0,26190.016819351433,30.18318064856794,-0.2999748521921273
2003-11-09 00:01:00,26220.1,-0.0003790067754594805,0,26190.016797375258,30.083581631516267,0.10077681808878047
2003-11-09 00:02:00,26220.4,-0.0015096838922196854,0,26190.016775399148,30.3847342847455,0.2015237309559179
2003-11-09 00:03:00,26220.5,-0.0033825165358337714,0,26190.016753423108,30.486629093428103,0.0022611290093372816
2003-11-09 00:04:00,26220.4,-0.005987989891854894,0,26190.01673144713,30.389256542764176,-0.09701098775132522
2003-11-09 00:05:00,26220.3,-0.009316589145836206,0,26190.01670947122,30.292607117925453,-0.09629261932789035
2003-11-09 00:06:00,26220.2,-0.013358799483330873,0,26190.016687495376,30.196671304108396,-0.1455837657181771
2003-11-09 00:07:00,26220.0,-0.01810510608989204,0,26190.0166655196,30.0014395864891,-0.5448844269232733
2003-11-09 00:08:00,26219.1,-0.02354599415107287,0,26190.016643543888,29.10690245026185,-1.0441946029395393
2003-11-09 00:09:00,26217.9,-0.02967194885242652,0,26190.016621568244,27.91305038061002,-1.0935142937731648
2003-11-09 00:10:00,26216.9,-0.03647345537950614,0,26190.016599592665,26.91987386271552,-0.8928434994248775
2003-11-09 00:11:00,26216.1,-0.043940998917864876,0,26190.016577617156,26.127363381760265,-0.39218221988812374
2003-11-09 00:12:00,26216.1,-0.052065064653055916,0,26190.016555641712,26.135509422939272,0.658469544840731
2003-11-09 00:13:00,26217.4,-0.0608361377706324,0,26190.01653366633,27.444302471441727,1.059111794748226
2003-11-09 00:14:00,26218.2,-0.07024470345614746,0,26190.01651169102,28.253733012435724,1.3097445298398203
2003-11-09 00:15:00,26220.0,-0.08028124689515428,0,26190.016489715774,30.063791531121367,1.4603677501220602
2003-11-09 00:16:00,26221.1,-0.09093625327320602,0,26190.016467740592,31.174468512679844,1.160981455587308
2003-11-09 00:17:00,26222.3,-0.10220020777585583,0,26190.01644576548,32.38575444229598,1.1115856462362856
2003-11-09 00:18:00,26223.3,-0.11406359558865685,0,26190.016423790436,33.397639805152416,1.262180322075185
2003-11-09 00:19:00,26224.8,-0.12651690189716225,0,26190.01640181545,34.91011508644635,1.2627654830963664
2003-11-09 00:20:00,26225.8,-0.1395506118869252,0,26190.01637984054,35.92317077134515,1.0133411293030967
2003-11-09 00:21:00,26226.8,-0.15315521074349883,0,26190.01635786569,36.93679734505255,1.1139072606957434
2003-11-09 00:22:00,26228.0,-0.16732118365243628,0,26190.016335890916,38.150985292736635,0.7644638772750376
2003-11-09 00:23:00,26228.3,-0.18203901579929077,0,26190.016313916196,38.46572509960262,0.41501097904170337
2003-11-09 00:24:00,26228.8,-0.1972991923696154,0,26190.01629194155,38.98100725082004,0.5655485659902837
2003-11-09 00:25:00,26229.4,-0.21309219854896333,0,26190.016269966967,39.59682223158319,0.4660766381225976
2003-11-09 00:26:00,26229.7,-0.2294085195228877,0,26190.01624799246,39.91316052706524,0.36659519544228303
2003-11-09 00:27:00,26230.1,-0.24623864047694177,0,26190.016226018008,40.330012622467756,0.31710423795407294
2003-11-09 00:28:00,26230.3,-0.2635730465966786,0,26190.016204043623,40.54736900297338,-0.13239623435367776
2003-11-09 00:29:00,26229.8,-0.28140222306765134,0,26190.016182069307,40.0652201537604,-0.3319062214795139
2003-11-09 00:30:00,26229.6,-0.29971665507541323,0,26190.01616009506,39.883556560014355,-0.281425723417982
2003-11-09 00:31:00,26229.2,-0.31850682780551737,0,26190.01613812088,39.502368706924436,-0.6309547401687112
2003-11-09 00:32:00,26228.3,-0.33776322644351686,0,26190.016116146766,38.62164707967693,-1.0304932717331567
2003-11-09 00:33:00,26227.1,-0.3574763361749649,0,26190.016094172715,37.44138216345812,-1.1800413181120497
2003-11-09 00:34:00,26225.9,-0.3776366421854147,0,26190.016072198734,36.26156444345283,-1.2295988793086643
2003-11-09 00:35:00,26224.6,-0.39823462966041934,0,26190.016050224818,34.982184404840794,-1.279165955316092
2003-11-09 00:36:00,26223.3,-0.4192607837855321,0,26190.016028250964,33.70323253282065,-1.2287425461412376
2003-11-09 00:37:00,26222.1,-0.4407055897463059,0,26190.016006277187,32.52469931255832,-1.1283286517797375
2003-11-09 00:38:00,26221.0,-0.46255953272829414,0,26190.015984303467,31.446575229261175,-1.077924272228321
2003-11-09 00:39:00,26219.9,-0.48481309791704996,0,26190.015962329817,30.368850768101677,-1.1275294074971711
2003-11-09 00:40:00,26218.7,-0.5074567704981262,0,26190.015940356232,29.191516414266832,-1.2771440575808324
2003-11-09 00:41:00,26217.3,-0.5304810356570765,0,26190.015918382716,27.814562652940012,-1.4267682224771203
2003-11-09 00:42:00,26215.8,-0.5538763785794537,0,26190.015896409266,26.337979969312592,-1.1264019021871263
2003-11-09 00:43:00,26215.0,-0.577633284450811,0,26190.015874435885,25.56175884856576,-0.6760450967101264
2003-11-09 00:44:00,26214.4,-0.6017422384567015,0,26190.015852462566,24.98588977589234,-0.4756978060512118
2003-11-09 00:45:00,26214.0,-0.6261937257826785,0,26190.01583048932,24.610363236463336,-0.37536003020528597
2003-11-09 00:46:00,26213.6,-0.6509782316142951,0,26190.01580851613,24.235169715481767,0.12496823082764585
2003-11-09 00:47:00,26214.2,-0.6760862411371045,0,26190.01578654302,24.860299698118627,0.5752869770468596
2003-11-09 00:48:00,26214.7,-0.7015082395366596,0,26190.015764569962,25.385743669575486,1.025596208447988
2003-11-09 00:49:00,26216.2,-0.7272347119985141,0,26190.015742596985,26.911492115014603,1.5758959250332136
2003-11-09 00:50:00,26217.8,-0.7532561437082205,0,26190.015720624066,28.537535519641914,1.676186126810542
2003-11-09 00:51:00,26219.5,-0.7795630198513324,0,26190.015698651216,30.263864368635687,1.8764668137683316
2003-11-09 00:52:00,26221.5,-0.8061458256134029,0,26190.015676678435,32.29046914717858,1.7767379859142203
2003-11-09 00:53:00,26223.0,-0.8329950461799849,0,26190.015654705716,33.81734034046413,1.2769996432460218
2003-11-09 00:54:00,26224.0,-0.860101166736632,0,26190.015632733066,34.84446843367062,1.0772517857626518
2003-11-09 00:55:00,26225.1,-0.8874546724688969,0,26190.015610760478,35.97184391198943,1.2774944134644706
2003-11-09 00:56:00,26226.5,-0.9150460485623331,0,26190.015588787963,37.39945726059956,1.677727526350754
2003-11-09 00:57:00,26228.4,-0.9428657802024933,0,26190.015566815513,39.32729896469094,1.7779511244214987
2003-11-09 00:58:00,26230.0,-0.9709043525749312,0,26190.015544843132,40.95535950944256,1.578165207682158
2003-11-09 00:59:00,26231.5,-0.9991522508651998,0,26190.01552287081,42.483629380055255,1.6283697761283733
2003-11-09 01:00:00,26233.2,-1.027599960258852,0,26190.01550089856,44.212099061699305,1.4785648297557756
2003-11-09 01:01:00,26234.4,-1.056237965941441,0,26190.015478926376,45.44075903956681,1.128750368569822
2003-11-09 01:02:00,26235.4,-1.0850567530985205,0,26190.01545695426,46.46959979883895,1.1789263925690605
2003-11-09 01:03:00,26236.7,-1.1140468069156428,0,26190.01543498221,47.79861182470493,1.2790929017567585
2003-11-09 01:04:00,26237.9,-1.143198612578362,0,26190.015413010227,49.027785602352466,1.179249896129285
2003-11-09 01:05:00,26239.0,-1.1725026552722302,0,26190.01539103831,50.1571116169635,0.9793973756833623
2003-11-09 01:06:00,26239.8,-1.2019494201828014,0,26190.015369066463,50.98658035371919,0.5295353404266301
2003-11-09 01:07:00,26240.0,-1.2315293924956288,0,26190.01534709468,51.21618229781676,0.1296637903583644
2003-11-09 01:08:00,26240.0,-1.2612330573962647,0,26190.01532512296,51.24590793443592,-0.07021727452908522
2003-11-09 01:09:00,26239.8,-1.2910509000702628,0,26190.01530315131,51.07574774875859,-0.47010785422988377
2003-11-09 01:10:00,26239.0,-1.3209734057031766,0,26190.015281179727,50.30569222597615,-0.6700079487444022
2003-11-09 01:11:00,26238.4,-1.3509910594805588,0,26190.015259208212,49.73573185126978,-0.4199175580762784
2003-11-09 01:12:00,26238.1,-1.3810943465879624,0,26190.015237236763,49.465857109823595,-0.2198366822182365
2003-11-09 01:13:00,26237.9,-1.4112737522109406,0,26190.01521526538,49.29605848683331,-0.06976532117391443
2003-11-09 01:14:00,26237.9,-1.4415197615350472,0,26190.01519329406,49.326326467475766,0.08029652504868778
2003-11-09 01:15:00,26238.0,-1.471822859745835,0,26190.015171322815,49.456651536930686,-0.21965114353661264
2003-11-09 01:16:00,26237.4,-1.502173532028857,0,26190.015149351628,48.88702418040254,-0.5196083269381759
2003-11-09 01:17:00,26236.9,-1.5325622635696667,0,26190.015127380517,48.417434883054334,0.18042497484399433
2003-11-09 01:18:00,26237.7,-1.5629795395538164,0,26190.015105409464,49.24787413009053,0.5304487618149913
2003-11-09 01:19:00,26237.9,-1.59341584516686,0,26190.015083438484,49.478332406684316,-0.16953696603318846
2003-11-09 01:20:00,26237.3,-1.6238616655943505,0,26190.01506146757,48.90880019802415,-0.16953220869144658
2003-11-09 01:21:00,26237.5,-1.6543074860218412,0,26190.01503949672,49.13926798930142,0.03046303383657545
2003-11-09 01:22:00,26237.3,-1.6847437916348849,0,26190.015017525937,48.969726265697304,-0.2695512384516725
2003-11-09 01:23:00,26236.9,-1.7151610676190352,0,26190.014995555222,48.60016551239808,-0.11957502555545574
2003-11-09 01:24:00,26237.0,-1.745549799159845,0,26190.014973584573,48.73057621458639,0.1303916725248584
2003-11-09 01:25:00,26237.1,-1.7759004714428674,0,26190.014951613994,48.860948857447795,-0.11965114420745593
2003-11-09 01:26:00,26236.7,-1.8062035696536556,0,26190.014929643483,48.49127392617148,-0.5197034757502124
