datetime,nH,vH,vthH
2009-01-01 00:11:13,2.1598,511.78,46.031
2009-01-01 00:23:11,2.3524,525.44,46.783
2009-01-01 00:35:16,2.6478,509.74,46.749
2009-01-01 00:47:13,2.41,523.7,40.49
2009-01-01 00:59:11,2.269,507.62,37.959
2009-01-01 01:11:16,2.4816,510.22,35.895
2009-01-01 01:23:13,2.2562,520.42,38.514
2009-01-01 01:35:11,1.9537,512.48,43.16
2009-01-01 01:47:16,1.5967,504.65,36.871
2009-01-01 01:59:13,1.7119,504.17,37.904
2009-01-01 02:11:19,1.9693,506.1,33.469
2009-01-01 02:23:16,2.255,524.3,39.69
2009-01-01 02:35:13,2.0225,505.29,34.826
2009-01-01 02:47:19,1.9145,503.79,36.122
2009-01-01 02:59:16,2.0855,507.68,34.663
2009-01-01 03:11:13,2.1583,508.1,34.589
2009-01-01 03:23:19,1.9847,501.91,34.696
2009-01-01 03:35:16,2.2005,508.6,39.595
2009-01-01 03:47:13,2.1332,506.27,37.819
2009-01-01 03:59:19,1.8899,531.3,32.697
2009-01-01 04:11:16,3.3835,519.62,40.349
2009-01-01 04:23:13,2.8838,507.52,38.868
2009-01-01 04:35:19,2.3476,504.86,37.398
2009-01-01 04:47:16,2.1051,509.34,40.363
2009-01-01 04:59:13,1.9031,501.95,41.349
2009-01-01 05:11:19,2.6445,508.76,36.356
2009-01-01 05:23:16,2.2319,502.45,38.528
2009-01-01 05:35:22,2.4894,513.17,36.977
2009-01-01 05:47:19,2.236,510.14,34.25
2009-01-01 05:59:16,2.1778,491.84,37.698
2009-01-01 06:11:22,1.7227,494.33,32.486
2009-01-01 06:23:19,1.55,478.3,43.953
2009-01-01 06:35:16,1.9686,482.34,37.727
2009-01-01 06:47:22,2.0268,479.2,37.815
2009-01-01 06:59:19,2.3144,488.07,34.74
2009-01-01 07:11:16,2.5694,484.89,31.724
2009-01-01 07:23:22,2.2015,489.71,36.194
2009-01-01 07:35:19,2.3625,494.5,31.055
2009-01-01 07:47:16,2.0357,473.46,35.166
2009-01-01 07:59:22,1.6702,461.89,41.628
2009-01-01 08:11:19,1.9857,471.07,37.296
2009-01-01 08:23:25,2.6803,473.15,39.594
2009-01-01 08:35:22,2.3259,469.52,42.518
2009-01-01 08:47:19,2.3397,473.19,37.731
2009-01-01 08:59:25,2.3734,473.47,35.605
2009-01-01 09:11:22,2.4748,484.62,35.387
2009-01-01 09:23:19,3.0551,491.39,35.922
2009-01-01 09:35:25,3.2502,488.12,35.539
2009-01-01 09:47:22,2.5153,484.38,38.923
2009-01-01 09:59:19,2.0174,462.91,34.366
2009-01-01 10:11:25,1.7202,462.66,35.088
2009-01-01 10:23:22,2.291,461.26,35.151
2009-01-01 10:35:19,2.0894,459.99,35.353
2009-01-01 10:47:25,2.0226,456.53,37.581
2009-01-01 10:59:22,2.3229,456.26,33.256
2009-01-01 11:11:28,2.4817,475.19,31.286
2009-01-01 11:23:25,2.0756,440.35,35.445
2009-01-01 11:35:22,2.079,438.39,35.746
2009-01-01 11:47:28,2.8044,439.49,29.39
2009-01-01 11:59:25,3.0703,440.87,31.833
2009-01-01 12:11:22,3.0575,437.93,31.412
2009-01-01 12:23:28,2.7238,445.66,31.64
2009-01-01 12:35:25,2.3094,458.28,31.56
2009-01-01 12:47:22,2.0874,452.46,26.87
2009-01-01 12:59:28,2.2678,454.9,26.673
2009-01-01 13:11:25,2.4754,446.69,26.135
2009-01-01 13:23:22,2.5309,444.76,30.659
2009-01-01 13:35:28,2.4115,442.71,28.509
2009-01-01 13:47:25,2.4736,439.75,27.796
2009-01-01 13:59:31,2.5303,433.94,30.175
2009-01-01 14:11:28,2.491,434.27,29.303
2009-01-01 14:23:25,2.4501,432.91,31.026
2009-01-01 14:35:31,2.8917,436.16,33.032
2009-01-01 14:47:28,2.5569,443.71,34.144
2009-01-01 14:59:25,2.4714,439.35,33.764
2009-01-01 15:11:31,2.2328,438.16,35.347
2009-01-01 15:23:28,2.0239,439.3,36.994
2009-01-01 15:35:25,1.6195,437.18,32.585
2009-01-01 15:47:31,1.9372,445.95,31.286
2009-01-01 15:59:28,2.2087,448.56,30.324
2009-01-01 16:11:25,2.0815,444.59,29.251
2009-01-01 16:23:31,2.402,444.03,35.751
2009-01-01 16:35:28,2.3235,434.83,35.712
2009-01-01 16:47:34,2.8387,435.05,30.971
2009-01-01 16:59:31,2.924,429.43,29.492
2009-01-01 17:11:28,2.5064,428.41,29.275
2009-01-01 17:23:34,1.9599,416.58,35.63
2009-01-01 17:35:31,2.5925,430.83,27.141
2009-01-01 17:47:28,1.5385,424.75,29.229
2009-01-01 17:59:34,1.853,431.95,31.029
2009-01-01 18:11:31,2.0597,430.54,29.225
2009-01-01 18:23:28,1.7796,437.26,28.557
2009-01-01 18:35:34,3.1024,436.16,28.99
2009-01-01 18:47:31,3.2729,444.91,31.599
2009-01-01 18:59:28,2.1916,420.65,36.403
2009-01-01 19:11:34,2.9481,424.86,33.315
2009-01-01 19:23:31,1.8629,405.3,22.308
2009-01-01 19:35:28,1.1991,432.91,30.208
2009-01-01 19:47:34,2.2284,422.16,34.192
2009-01-01 19:59:31,1.2538,407.26,29.234
2009-01-01 20:11:36,1.8774,412.92,29.244
2009-01-01 20:23:34,1.9661,411.56,30.071
2009-01-01 20:35:31,1.7438,418.08,32.114
2009-01-01 20:47:36,1.9445,413.4,33.141
2009-01-01 20:59:34,2.1021,415.4,31.358
2009-01-01 21:11:31,2.2785,419.92,33.069
2009-01-01 21:23:36,2.0123,421.42,30.766
2009-01-01 21:35:34,1.7215,415.17,30.402
2009-01-01 21:47:31,2.2158,415.65,30.854
2009-01-01 21:59:36,2.3338,425.08,28.608
2009-01-01 22:11:34,1.1425,421.81,31.446
2009-01-01 22:23:31,2.4341,421.74,32.764
2009-01-01 22:35:36,2.8468,427.82,26.207
2009-01-01 22:47:34,1.9742,430.39,34.572
2009-01-01 22:59:39,2.1196,440.97,33.117
2009-01-01 23:11:36,1.5096,416.13,21.275
2009-01-01 23:23:34,1.9993,431.32,30.296
2009-01-01 23:35:39,2.0152,428.94,29.364
2009-01-01 23:47:36,1.6307,433.13,32.804
2009-01-01 23:59:34,0.92414,440.29,32.815
2009-01-02 00:11:39,1.4481,416.78,28.769
2009-01-02 00:23:36,1.0209,420.73,40.649
2009-01-02 00:35:34,1.4167,422.16,40.755
2009-01-02 00:47:39,1.7868,417.07,37.081
2009-01-02 00:59:36,1.5354,413.16,31.157
2009-01-02 01:11:34,1.454,420.05,41.135
2009-01-02 01:23:39,0.75043,407.97,32.379
2009-01-02 01:35:36,2.5409,411.86,34.284
2009-01-02 01:47:34,2.0428,404.64,20.286
2009-01-02 01:59:39,3.0648,399.42,25.265
2009-01-02 02:11:36,2.7273,404.6,26.243
2009-01-02 02:23:42,3.0225,409.62,28.438
2009-01-02 02:35:39,2.2951,426.25,29.512
2009-01-02 02:47:36,2.0793,379.73,30.338
2009-01-02 02:59:42,2.0779,397.3,29.872
2009-01-02 03:11:39,2.8932,382.2,27.855
2009-01-02 03:23:36,2.5757,385.35,27.157
2009-01-02 03:35:42,3.1716,378.22,25.586
2009-01-02 03:47:39,2.9002,381.98,31.279
2009-01-02 03:59:36,1.557,408.04,34.339
2009-01-02 04:11:42,2.0086,397.44,24.764
2009-01-02 04:23:39,1.8929,401.77,26.988
2009-01-02 04:35:36,1.5798,405.76,34.325
2009-01-02 04:47:42,1.329,405.45,34.526
2009-01-02 04:59:39,0.66521,372.84,18.35
2009-01-02 05:11:45,1.3232,407.6,35.661
2009-01-02 05:23:42,1.53,408.13,37.739
2009-01-02 05:35:39,0.74499,363.49,18.378
2009-01-02 05:47:45,2.1483,394.16,28.337
2009-01-02 05:59:42,1.3456,361.07,19.797
2009-01-02 06:11:39,2.6942,358.6,22.669
2009-01-02 06:23:45,3.0669,368.64,33.559
2009-01-02 06:35:42,1.9884,396.25,37.959
2009-01-02 06:47:39,2.1688,391.48,32.361
2009-01-02 06:59:45,0.90998,379.24,16.249
2009-01-02 07:11:42,1.6066,398.49,28.716
2009-01-02 07:23:39,1.1003,401.09,29.869
2009-01-02 07:35:45,1.4634,391.23,25.138
2009-01-02 07:47:42,1.487,388.07,22.322
2009-01-02 07:59:48,1.4161,396.18,31.247
2009-01-02 08:11:45,1.3557,392.67,25.06
2009-01-02 08:23:42,1.6262,390.57,23.198
2009-01-02 08:35:48,1.8004,415.35,29.945
2009-01-02 08:47:45,2.5093,414.35,29.677
2009-01-02 08:59:42,2.4335,406.77,26.11
2009-01-02 09:11:48,2.1065,407.02,25.955
2009-01-02 09:23:45,2.5193,405.1,27.585
2009-01-02 09:35:42,2.8305,413.86,22.468
2009-01-02 09:47:48,2.4623,417.16,22.638
2009-01-02 09:59:45,1.7852,419.21,28.219
2009-01-02 10:11:42,1.0849,422.6,38.087
2009-01-02 10:23:48,1.8436,415.75,30.716
2009-01-02 10:35:45,1.4592,413.27,32.712
2009-01-02 10:47:42,1.4348,416.9,32.987
