datetime,nH,vH,vthH
2019-01-01 00:12:05,2.9291,462.1,20.158
2019-01-01 00:24:02,3.4894,452.58,21.153
2019-01-01 00:36:00,3.0216,461.64,19.378
2019-01-01 00:47:57,,,
2019-01-01 01:00:02,,,
2019-01-01 01:12:08,2.5151,454.27,21.707
2019-01-01 01:24:05,,,
2019-01-01 01:36:11,,,
2019-01-01 01:48:08,3.9186,442.94,18.517
2019-01-01 02:00:05,4.648,449.46,18.754
2019-01-01 02:12:11,4.1829,437.3,19.498
2019-01-01 02:24:08,4.6898,436.78,18.932
2019-01-01 02:36:14,4.0846,434.95,16.526
2019-01-01 02:48:11,4.4532,438.34,16.523
2019-01-01 03:00:17,5.0923,442.64,19.322
2019-01-01 03:12:14,,,
2019-01-01 03:24:11,4.3377,433.36,19.141
2019-01-01 03:36:08,,,
2019-01-01 03:48:14,5.689,439.35,23.908
2019-01-01 04:00:20,6.1094,432.78,16.73
2019-01-01 04:12:17,4.6235,433.61,18.867
2019-01-01 04:24:23,4.2638,432.93,20.166
2019-01-01 04:36:20,,,
2019-01-01 04:48:17,4.1715,427.67,22.454
2019-01-01 05:00:14,,,
2019-01-01 05:12:20,4.2591,432.38,20.269
2019-01-01 05:24:25,4.5206,430.46,22.378
2019-01-01 05:36:23,3.7163,426.68,21.929
2019-01-01 05:48:28,4.7545,428.65,19.771
2019-01-01 06:00:25,4.4021,432.18,19.882
2019-01-01 06:12:31,4.7385,429.86,19.929
2019-01-01 06:24:28,4.7416,431.25,19.997
2019-01-01 06:36:25,4.4965,427.84,20.679
2019-01-01 06:48:31,4.7812,433.7,23.138
2019-01-01 07:00:28,5.5847,426.33,20.414
2019-01-01 07:12:25,,,
2019-01-01 07:24:31,,,
2019-01-01 07:36:28,,,
2019-01-01 07:48:34,3.8115,419.32,19.948
2019-01-01 08:00:31,3.4724,421.29,18.973
2019-01-01 08:12:28,,,
2019-01-01 08:24:34,,,
2019-01-01 08:36:31,,,
2019-01-01 08:48:37,4.1639,422.44,17.055
2019-01-01 09:00:43,3.0878,414.88,18.813
2019-01-01 09:12:40,3.6652,418.9,19.538
2019-01-01 09:24:37,,,
2019-01-01 09:36:43,4.2726,417.02,22.45
