datetime,nH,vH,vthH
2018-01-01 00:12:48,15.36,366.57,30.508
2018-01-01 00:24:46,14.935,370.22,30.742
2018-01-01 00:36:51,18.175,372.32,29.278
2018-01-01 00:48:48,22.247,394.5,30.211
2018-01-01 01:00:54,16.198,393.56,25.841
2018-01-01 01:12:51,25.157,388.15,28.885
2018-01-01 01:24:48,14.668,372.57,23.323
2018-01-01 01:36:54,18.844,374.44,21.818
2018-01-01 01:48:51,19.534,376.85,23.33
2018-01-01 02:00:48,23.272,381.79,22.352
2018-01-01 02:12:54,20.666,388.99,23.457
2018-01-01 02:24:51,22.448,385.1,23.543
2018-01-01 02:36:48,22.712,390.97,23.835
2018-01-01 02:48:54,23.369,391.17,26.16
2018-01-01 03:00:51,23.143,391.45,26.594
2018-01-01 03:12:48,39.641,397.13,27.969
2018-01-01 03:24:54,33.132,391.72,28.088
2018-01-01 03:36:51,13.714,432.66,32.317
2018-01-01 03:48:48,11.974,434.87,48.03
2018-01-01 04:00:54,10.572,431.35,46.155
2018-01-01 04:12:51,13.355,425.44,46.702
2018-01-01 04:24:48,11.287,447.56,45.015
2018-01-01 04:36:54,9.3263,446.38,44.293
2018-01-01 04:48:51,12.111,435.08,46.46
2018-01-01 05:00:48,9.2904,435.5,41.161
2018-01-01 05:12:54,9.5026,426.81,40.862
2018-01-01 05:24:51,9.7169,439.29,42.936
2018-01-01 05:36:48,9.5973,437.35,43.46
2018-01-01 05:48:54,10.705,442.51,45.485
2018-01-01 06:00:51,7.9018,446.02,44.944
2018-01-01 06:12:48,9.4215,444.0,48.309
2018-01-01 06:24:54,9.2547,447.12,50.125
2018-01-01 06:36:51,9.3423,443.91,50.031
2018-01-01 06:48:48,7.3112,449.59,46.441
2018-01-01 07:00:54,7.6371,446.07,42.105
2018-01-01 07:12:51,8.8648,442.97,41.781
2018-01-01 07:24:48,,,
2018-01-01 07:36:54,11.613,438.32,40.991
2018-01-01 07:48:51,7.5017,442.39,43.919
2018-01-01 08:00:48,8.5469,444.57,42.278
2018-01-01 08:12:54,9.4873,443.31,36.501
2018-01-01 08:24:51,9.3292,439.16,37.364
